,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6
Revenue,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
COGS,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
Gross Profit,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
SG&A,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
Depreciation,8000.0,12800.0,7600.0,4800.0,4800.0,2000.0
Operating Expenses,14000.0,18800.0,13600.0,10800.0,10800.0,8000.0
EBIT,26000.0,21200.0,26400.0,29200.0,29200.0,32000.0
Taxes,5460.0,4452.0,5544.0,6132.0,6132.0,6720.0
Net Income,20540.0,16748.0,20856.0,23068.0,23068.0,25280.0
EPS,2.054,1.6748,2.0856,2.3068,2.3068,2.528
Cash Flow,28540.0,29548.0,28456.0,27868.0,27868.0,27280.0
CF per Share,2.854,2.9548,2.8456,2.7868,2.7868,2.728
PV EPS,1.867272727272727,1.3841322314049584,1.5669421487603301,1.5755754388361447,1.4323413080328586,1.4269900951759487
PV CF per Share,2.5945454545454543,2.44198347107438,2.137941397445529,1.9034218974113783,1.730383543101253,1.5398848811867043
