,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6
Revenue,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
COGS,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
Gross Profit,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
SG&A,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
Depreciation,6666.67,6666.67,6666.67,6666.67,6666.67,6666.67
Operating Expenses,12666.67,12666.67,12666.67,12666.67,12666.67,12666.67
EBIT,27333.33,27333.33,27333.33,27333.33,27333.33,27333.33
Taxes,5739.9993,5739.9993,5739.9993,5739.9993,5739.9993,5739.9993
Net Income,21593.330700000002,21593.330700000002,21593.330700000002,21593.330700000002,21593.330700000002,21593.330700000002
EPS,2.15933307,2.15933307,2.15933307,2.15933307,2.15933307,2.15933307
Cash Flow,28260.000700000004,28260.000700000004,28260.000700000004,28260.000700000004,28260.000700000004,28260.000700000004
CF per Share,2.8260000700000005,2.8260000700000005,2.8260000700000005,2.8260000700000005,2.8260000700000005,2.8260000700000005
PV EPS,1.9630300636363636,1.7845727851239668,1.6223388955672424,1.4748535414247659,1.340775946749787,1.218887224317988
PV CF per Share,2.569090972727273,2.3355372479338845,2.1232156799398947,1.9301960726726315,1.754723702429665,1.5952033658451497
